question,answer
what is the percentage of persons aged aged 35 to 44 reported having no friends in 2013?,5.0
what is the percentage of canadians aged 75 and older not living in an institution who had no close friends they could confide in or call on for help in 2013?,15.0
which province has the lowest proportion of people who reported having no close friends in 2013?,prince edward island
which province has the highest proportion of people who reported having no close friends in 2013?,quebec
which club did bakayoko play for in 2016-17?,monaco
which club did konopka play for in 2009?,sporting fingal
how many rushing yards did mccoy get in 2013?,1607.0
which club did luca cigarini play for in 2013-14?,atalanta
what is the proportion of people with more than 10 other friends in 2003?,56.0
what is the proportion of people with more than 10 other friends in 2013?,60.0
what is the percentage of canadians aged 25 to 34 who had more than 10 'other friends' in 2003?,58.0
what is the percentage of canadians aged 25 to 34 who had more than 10 'other friends' in 2013?,70.0
what is the proportion of canadians reported knowing many or most of their neighbours in 2013?,42.0
what is the percentage of canadians who reported having done a favour for a neighbour in the past month in 2003?,61.0
what is the percentage of canadians who reported having done a favour for a neighbour in the past month in 2013?,69.0
"in 2013,what is the percentage of canadians who only had contact, in the past month, with friends who shared the same mother tongue?",60.0
"in 2003,what is the percentage of canadians who only had contact, in the past month, with friends who shared the same mother tongue?",60.0
what is the percentage of people having contact only with friends sharing the same mother tongue in ontario in 2013?,54.0
