similarity_score,question
0.311,which club did luca cigarini play for in 2013-14?
0.6371,what is the proportion of people with more than 10 other friends in 2003?
0.6037,what is the proportion of people with more than 10 other friends in 2013?
0.6651,what is the percentage of canadians aged 25 to 34 who had more than 10 'other friends' in 2003?
0.6625,what is the percentage of canadians aged 25 to 34 who had more than 10 'other friends' in 2013?
0.555,what is the proportion of canadians reported knowing many or most of their neighbours in 2013?
0.5398,what is the percentage of canadians who reported having done a favour for a neighbour in the past month in 2003?
0.5348,what is the percentage of canadians who reported having done a favour for a neighbour in the past month in 2013?
0.6446,"in 2013,what is the percentage of canadians who only had contact, in the past month, with friends who shared the same mother tongue?"
0.6476,"in 2003,what is the percentage of canadians who only had contact, in the past month, with friends who shared the same mother tongue?"
0.613,what is the percentage of people having contact only with friends sharing the same mother tongue in ontario in 2013?
0.5748,which province recorded the smallest proportion of people having contact only with friends sharing the same mother tongue in 2013?
0.7188,what is the percentage of people having contact only with friends sharing the same mother tongue in newfoundland and labrador in 2013?
0.5807,which province recorded the highest proportion of people having contact only with friends sharing the same mother tongue in 2013?
0.5661,how many million nasf of new research space construction did u.s. universities and colleges plan to start in fy 2018 or fy 2019?
0.3369,what was the actual amount reported in fy 2017 for that period of nasf?
0.4537,how many goals did filippo inzaghi score for juventus totally?
0.308,how many rushing yards did dexter mccluster get in 2008?
0.5028,how many league goals did sanchez score for sarmiento totally?
0.6163,how many admissions were there to provincial/territorial adult correctional services in 2017/2018?
0.4766,how many admissions were there to federal adult correctional services in 2017/2018?
0.5003,how many total admissions were there to adult correctional services in 2017/2018?
0.4595,what was the declines in the total number of admissions to adult correctional services from 2016/2017?
0.5959,what was the declines in the number of provincial/territorial admissions to adult correctional services from 2016/2017?
0.441,what was the declines in the number of federal admissions to adult correctional services from 2016/2017?
0.3488,what was the declines in admissions to custody overall from 2016/2017?
0.2696,what was the declines in admissions to community supervision from 2016/2017?
0.5081,what was the declines in the total number of admissions to adult correctional services in yukon from 2016/2017?
